City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Wind Speed (mph)
kapaa,20.0,US,66.0,22.08,-159.32,83.57,10.29
albany,97.0,US,91.0,42.6,-73.97,64.26,3.47
sayat,0.0,TM,32.0,38.78,63.88,68.0,4.7
saldanha,0.0,ZA,81.0,-33.01,17.94,50.0,1.12
chicama,32.0,PE,82.0,-7.84,-79.15,62.85,7.2
kaitangata,100.0,NZ,69.0,-46.28,169.85,46.0,11.01
mataura,100.0,NZ,83.0,-46.19,168.86,39.0,3.0
huarmey,97.0,PE,84.0,-10.07,-78.15,61.14,7.67
bluff,100.0,NZ,83.0,-46.6,168.33,39.0,3.0
barcelos,90.0,PT,100.0,41.54,-8.62,63.9,13.87
san policarpo,29.0,PH,66.0,12.18,125.51,85.05,7.14
hobart,20.0,AU,76.0,-42.88,147.33,44.85,8.05
ilulissat,100.0,GL,70.0,69.22,-51.1,44.6,2.24
butaritari,0.0,KI,72.0,3.07,172.79,82.92,7.7
atuona,7.0,PF,72.0,-9.8,-139.03,80.1,19.62
provideniya,90.0,RU,93.0,64.38,-173.3,46.4,11.18
aklavik,75.0,CA,55.0,68.22,-135.01,62.6,11.41
cherskiy,63.0,RU,54.0,68.75,161.3,54.1,14.67
elbistan,0.0,TR,71.0,38.21,37.2,60.35,3.27
comodoro rivadavia,40.0,AR,100.0,-45.87,-67.5,39.2,8.28
ushuaia,0.0,AR,79.0,-54.8,-68.3,26.6,4.7
taoudenni,0.0,ML,10.0,22.68,-3.98,95.97,9.75
punta arenas,0.0,CL,85.0,-53.15,-70.92,24.4,4.7
cidreira,25.0,BR,79.0,-30.18,-50.21,60.58,25.66
inta,100.0,RU,72.0,66.03,60.17,45.77,11.25
inhambane,26.0,MZ,80.0,-23.86,35.38,66.13,12.68
georgetown,20.0,MY,94.0,5.41,100.34,80.19,3.36
burnie,41.0,AU,79.0,-41.07,145.92,54.0,15.01
buala,33.0,SB,70.0,-8.14,159.59,84.27,6.78
rikitea,95.0,PF,62.0,-23.12,-134.97,69.33,17.4
devils lake,90.0,US,93.0,48.11,-98.87,66.2,27.51
ostrovnoy,100.0,RU,66.0,68.05,39.51,54.39,15.37
trelew,98.0,AR,90.0,-43.25,-65.31,44.42,19.89
chelbasskaya,0.0,RU,86.0,45.98,39.37,67.33,4.5
nioro,100.0,GM,71.0,13.35,-15.75,80.53,6.62
ust-tsilma,100.0,RU,69.0,65.44,52.15,51.57,6.17
stornoway,100.0,GB,93.0,58.21,-6.39,51.89,17.22
bredasdorp,0.0,ZA,93.0,-34.53,20.04,51.8,6.93
sharjah,0.0,AE,70.0,25.36,55.4,91.33,8.05
karpathos,0.0,GR,88.0,35.51,27.21,73.4,25.28
new norfolk,76.0,AU,78.0,-42.78,147.06,44.13,3.02
puerto ayora,65.0,EC,90.0,-0.74,-90.35,71.01,7.0
beringovskiy,100.0,RU,96.0,63.05,179.32,41.11,6.71
saint-philippe,0.0,RE,45.0,-21.36,55.77,59.81,8.05
alice springs,0.0,AU,30.0,-23.7,133.88,71.6,1.12
geraldton,90.0,AU,93.0,-28.77,114.6,59.0,9.17
faanui,0.0,PF,74.0,-16.48,-151.75,78.04,24.99
waspan,75.0,NI,79.0,14.74,-83.97,84.2,5.82
dzaoudzi,20.0,YT,74.0,-12.79,45.27,78.8,21.92
roald,99.0,NO,81.0,62.58,6.13,47.52,18.34
lasa,90.0,IT,100.0,46.62,10.7,52.92,9.17
the valley,20.0,AI,74.0,18.22,-63.06,83.07,10.29
naspur,11.0,IN,77.0,18.83,79.45,81.99,2.01
hermanus,0.0,ZA,94.0,-34.42,19.23,48.0,4.03
dongying,94.0,CN,43.0,37.46,118.49,84.04,7.38
hanyang,100.0,CN,88.0,32.14,105.51,72.01,1.66
tasiilaq,100.0,GL,45.0,65.61,-37.64,44.6,18.34
nouadhibou,0.0,MR,80.0,20.93,-17.03,70.02,12.75
castro,91.0,BR,93.0,-24.79,-50.01,59.94,12.37
mar del plata,75.0,AR,81.0,-38.0,-57.56,48.97,18.34
nabire,75.0,ID,81.0,-3.37,135.48,81.73,1.99
ndele,2.0,CF,96.0,8.41,20.65,68.85,1.07
severo-kurilsk,0.0,RU,68.0,50.68,156.12,51.82,10.33
caravelas,46.0,BR,95.0,-17.71,-39.25,69.31,2.77
arteaga,95.0,MX,91.0,18.47,-102.42,71.26,3.51
vanimo,100.0,PG,61.0,-2.67,141.3,85.37,3.62
cape town,0.0,ZA,93.0,-33.93,18.42,48.2,2.24
acajutla,6.0,SV,45.0,13.59,-89.83,82.71,2.24
eyl,99.0,SO,63.0,7.98,49.82,81.91,26.46
houma,1.0,US,79.0,29.6,-90.72,84.0,5.82
ponta do sol,40.0,PT,68.0,32.67,-17.1,67.06,11.41
wanning,100.0,CN,80.0,18.8,110.4,82.45,7.92
vallenar,0.0,CL,30.0,-28.57,-70.76,62.55,3.74
fairbanks,90.0,US,76.0,64.84,-147.72,52.14,10.29
shingu,75.0,JP,94.0,33.73,135.98,73.4,4.7
acapulco,40.0,MX,74.0,16.86,-99.89,84.2,4.7
waitati,100.0,NZ,83.0,-45.75,170.57,44.47,24.0
abadiania,20.0,BR,76.0,-16.2,-48.71,57.2,1.12
preobrazheniye,100.0,RU,64.0,42.9,133.91,65.48,13.29
launceston,90.0,AU,87.0,-41.45,147.17,52.32,8.05
belyy yar,99.0,RU,77.0,53.6,91.39,64.4,6.71
haines junction,0.0,CA,30.0,60.75,-137.51,66.47,9.51
ovre ardal,100.0,NO,76.0,61.32,7.8,47.46,5.46
